O. Faupula
Mailefihi Tuku'aho
Soane Hola
Talanoa Kitekei'aho
Kulikefu Lomu
Soakai Motu'apuaka
Semisi Faleafa
Fou Ma'afu
Fili Moala
Sione Vai
Sweet Leilani Fekau
Poseisei Havili
Viliami Lutua
Sitini Mahe
Paea Moala
Soape Nuku
Sisi Tu'ipulotu
Pohahau Palu
Siale Vai
Sanilaita
Amone Fungavaka
Tu'ikolovatu Halafihi
Liapo Halavatau
T. Kapeli
Tomasi Lovo
Laupo Mafileo
Feleti Moala
Pule Moala
Tevita Soane
Poese Taukolo
Hakatoa Tupou
Kapelilei Vunipola
Mesui Fanga'uta
Vatuniloka Fifita
Ha'unga Petelo
Feleti Taniela
Viliami Vunipola
Pau Afeaki
Talai Fifita
Viliami Maka
Kouliti Ma'u
Laukau Ofa
Heneli Pau'u
'Otenili Pifeleti
'Ofa Blake
Tohi Leha
Pau'u Lolohea
Tu'ihalafatai Ma'afu
Takai Makisi
Mo'unga Taufateau
Paula Taholo
Sinali-Tui Latu
Feao Lavemai
Sekona Taufa
Tali Ete'aki
Paula Tupou
Laifai'i Kauhalaniua
Peni Fakava
Manisela Hekeheke
Fetaiaki Langi
Pila Maka
Lui Stanley
Latu Vaeno
Lausii Hopoate
Emosi Koloto
Funa Moala
Samiu Mohi
Mofuike Tu'ungafasi
Vaivao Fa'aumu
Maliu Filise
Popolini Ta'univao
Totilini Tuavao
Soane 'Asi
Quddus Fielea
Kasi Fine
Kini Fotu
Taipaleti Tu'uta
Sione Tahaafe
Lemeki Vaipulu
Asa Amone
Manu Vunipola
Siaosi 'Atiola
Inoke Finau
Maimoa Havili
Teutau Loto'ahea
Kite Tuivailala
Lopeti Uhatafe
Semi Ve'ehala
Chris Manu
Liueli Fusimalohi
Tevita Hafoka
Kolona Latu
Fa'onelua Fakaua
Kuli Faletau
Fatai Ika
Maliepo Toma
Soane Finau
Taitusi Halasika
Sione Palenapa
Hikifo'ou Vaingolo
'Asisi Pou'uhila
Takitoa Taumoepeau
Koloni Tuivailala
Fe'ao Vunipola
Koliniata Feke
Samiu Mafi
Tinitale Makalea
Liueli Susimalofi
Moimoi Halatanu
Feao Filikitonga
Isi Tapueluelu
Ikani Taufa
Nafe Tufui
Elisi Vunipola
Tevita Lavaki
Amanaki Vaha'akolo
Fololisi Masila
Peniola Ahofono
Vaea Anitoni
Feleti Faotusa
Takau Lutua
Uafe Niuila
Sitiveni Pongi
Tukua Tonga
Fifita Faletau
Leha'uli Fotu
Okalani Kanatea
Lopeti Samiu
Sione Vaeno
Tevita Va'enuku
Soane Hiko
Alatini Saulala
Fatui Lagilagi
Huihahau Nisa
Semi Taupeaafe
Pelimani Fisi'iahi
Rudi Kapeli
Dave Latailakepa
Holani Pohiva
Chris Schaumkel
Isi Tu'ivai
Mistana Vea
Tasi Vikilani
Isi Fatani
Siaosi Latu
Tevita Pau'u
Tavake Tuineau
Ipolito Fenukitau
Samisoni Lolo
Feleti Mahoni
Valita Moa
Edwin Talakai
Pauliasi Vakamalolo
Martin Manukia
Feleti Fakaongo
Manu Lavaka
A. Tulikaki
Afu Uasi
Finau Ma'afu
Semisi Tongia
Falamani Mafi
Alaska Taufa
Taipe Vave
Tu'ihakavalu Kolo
Falanisi Manukia
Kolau Fokofuka
Sateki Tuipulotu
Unaloto Fa
Peneili Latu
Valai Taumoepeau
Sam Alatini
Kati Tu'ipulotu
Kilioni Tuipulotu
Jonathan Tupou
Pouvalu Latukefu
David Manako
Mana 'Otai
Taholo Anitoni
Va'a Toloke
Saili Fe'ao
Willie Lose
Unuoi Va'enuku
Inoke Afeaki
Simana Mafile'o
Taipe Isitolo
Akuila Mafi
Pita Alatini
Pita Tanginoa
Paula Tuitavake
Tevita Asi
Paula Kalanivalu
Lani Katoa
Hemani Lavaka
Etu Manu
Ngalu Taufo'ou
Josh Taumalolo
Maikolo Kaihea
Fepikou Tatafu
Gustavo Tonga
Ma'ama Molitika
Viliami Uhi
Semisi Faka'osi'folau
Damien Penesini
Tau Siale
Alipate Ta'ufo'ou
Talanoa Tohi
Latiume Maka
Semi Tulikifanga
Dave Tiueti
Vikilani Afeaki
Johnny Ngauamo
David Briggs
Saia Latu
Vili Ma'asi
Tom Matakiongo
Sione Tuipulotu
Simon Hafoka
Sione Tai
Salesi Finau
Pierre Hola
Benhur Kivalu
Jonathan Koloi
Tauna'holo Taufahema
Brian Wooley
Hainga Fakatou
Uiniati Moa
Ma'afu Pale
Matt te Pou
David Edwards
Sililo Martens
Jeff Sitoa
Sam Hala
Puke Faletau
'Aleki Lutui
Tevita Taumoepeau
Sengili Tuihalamaka
Keni Fisilau
Kisione Ahota'eiloa
Ta'u Fainga'anuku
Epi Taione
Hotili 'Asi
Chris Hala'ufia
Aisea Havili Kaufusi
Apai Kaitu'u
Epafasi Ta'ufo'ou
Lotu Filipine
Fakataha Molitika
Sioeli Nau
Movete 'Oto'ota
Solomone Matangi
Soane Havea
Henry Saafi
Loni Manako
Tevita Fifita
Nisifolo Naufahu
Manako Tonga
Viliami Vaki
Taufa'ao Filise
Gus Leger
John Pale
Toni Alatini
Lua Lokotui
Salesi Moimoi
Mo'unga Kafatolu
Andrew Mailei
Stanley Afeaki
Nick Hau
Sione Fonua
Emosi Kauhenga
Laukau Lile
Kisi Pulu
Kilioni Bakewa
Tonga Lea'aetoa
Milton Ngauamo
David Palu
John Payne
Ephraim Taukafa
Lisiate 'Ulufonua
Willie Gibbons
Taniela Tulia
Feki Latusalu
Tevita Tu'ifua
Johnny Tu'amoheloa
Suka Hufanga
Kafalosi Tonga
Sila Va'enuku
Edward Langi
Pila Fifita
Fangatapu 'Apikotoa
Lisiate Fa'aoso
Ofa Misa
Mosese Moala
Seti Filo
Sefa Vaka
Sikuti Vunipola
Seti Kiole
Mosese Makasini
Matini Tupou
Siaosi Taufa
Hudson Tonga'uiha
Ueleni Fono
Siope Kapeli
Samuela Lisala
Kana Fakava
Sione Niu Tonga
Sione Masima
Rodney Mahe
Fotu'aika Naitoko
Sione Taukapo
Soane Tonga'uiha
Peni Fakalelu
Alani Maka
Talite Vaioleti
Kele Hehea
Nili Latu Langilangi
Tatafu Na'aniumotu
Tevita Vaikona
Viliami Hakalo
Kaiongo Tupou
Isieli Fine
Tevita Fonua
Teu'imuli Kaufusi
Vunga Lilo
Sione Poteki
Vaea Poteki
Toma Toke
Hale T-Pole
Atonio Halangahu
Sione Kalamafoni
Hemani Paea
Folauhola Tatua'a
Makoni Finau
Tevita 'Ahoafi
Setaleki Lu'au
Sateki Mata'u
Naisa Sikalu
Tevita Tanginoa
Samiu Vahafolau
Lisiate Tafa
Patrick Tamoua
Lopeti Lolohea
Mesui Lemoto
Finau Maka
Enele Taufa
Josh Afu
Sione Lavaka
Tupou Palu
Semisi Telefoni
Samiuela Ika
Sione Timani
Semosoni Pone
'Alipate Fatafehi
David Halaifonua Tonga
Ilaisa Ma'asi
Po'alo'i Taula
Opeti Fonua
Pasuka Mapakaitolo
Mateo Malupo
Mahe Fangupo
Fou-Ki-Moana Katoa
Siosaia Palei
Kilifi Fangupo
Paula Kata
Etueni Siua
Sione Vaiomounga
Mani Vakaloa
Kurt Morath
Manu Ahota'e'iloa
Akameta Fe'ao
Saia Fekitoa
Kelepi Halafihi
Daniel Morath
Alapini Olosoni
Alaska Taufa
Samisoni Fisilau
Sione Fukofuka
Steve Mafi
Will Helu
Haani Halaeua
Viliami Pola
Aloisio Mailangi
Damian Fakafanua
Taumei Hikila
Rutikha Ilolahia
Petuliki Mateo
Kama Sakalia
Paea Siulangapo
Michael Toloke
Sione Vaioleti
Sioeli Faupula
Kuea Kolokihakaufiji
Viliame Iongi
Pepa Koloamatangi
Viliami Ma'afu
Ofa Fainga'anuku
Paula Kaho
Eddie Paea
Silivenusi Taumoepeau
Sona Taumalolo
Joe Tuineau
Tevita Ula
Sila Puafisi
Maleko Latu
Tomasi Palu
Halani 'Aulika
Taniela Moa
Fetu'u Vainikolo
Siale Piutau
Mafileo Kefu
Viliami Fainga'a
Tevita Mailau
Sione Piukala
Elvis Taione
Eddie Aholelei
Taione Vea
Viliami Fihaki
Samisone Masima
Fraser Anderson
Siale Fahiua
Dan Faleafa
Rocky Havili
Uili Kolo'ofai
Latiume Fosita
Suliasi Taufalele
Mata'ali Paea
Otulea Katoa
Paul Ngauamo
Tane Takulua
Paea Fa'anunu
Siua Halanukonuka
Sione Lea
