Name,Debut,Number
Vince Bevan,1949,479
Kiwi Blake,1949,501
Ron Bryers,1949,502
Ronald Dobson,1949,503
Arthur Hughes,1949,384
Jack Kelly,1949,504
Bert Lunn,1949,505
Graham Moore,1949,506
Bill Mumm,1949,507
Rex Orr,1949,509
Bob Stuart,1949,510
Tiny White,1949,511
Hector Wilson,1949,512
Neville Black,1949,485
Pat Crowley,1949,487
Des Christian,1949,497
Red Delamore,1949,493
Jack Bond,1949,513
Ray O'Callaghan,1949,508
Des O'Donnell,1949,514
Roy Roper,1949,515
Harry Rowley,1949,516
George Beatty,1950,517
Brownie Cherrington,1950,518
Laurie Haig,1950,519
Graham Mexted,1950,520
John Tanner,1950,521
Snow Cockerill,1951,522
Bob Duff,1951,523
Percy Erceg,1951,524
Ron Jarden,1951,531
Thomas Lynch,1951,532
Bill McCaw,1951,527
Eddie Robinson,1951,528
Leo Steele,1951,529
Norman Wilson,1951,492
Raymond Bell,1951,533
Peter Eastgate,1952,537
Allan Elsom,1952,538
Jim Fitzgerald,1952,539
John Hotop,1952,540
Ian Irvine,1952,541
Hugh McLaren,1952,542
Kevin Meates,1952,543
Ponty Reid,1952,535
Noel Bowden,1952,544
Mick Bremner,1952,545
Keith Davis,1952,546
Ian Hammond,1952,526
Jack Skeen,1952,547
Bill Clark,1953,549
Ian Clarke,1953,552
Nelson Dalzell,1953,553
Brian Fitzpatrick,1953,525
Ron Hemi,1953,555
Richard Bowers,1954,560
Morrie Dixon,1954,561
Colin Loader,1954,550
Desmond Oliver,1954,557
Snow White,1954,558
Tiger Hilton-Jones,1954,556
Douglas Wilson,1954,559
Robin Archer,1955,563
Peter Burke,1955,534
Mark Irwin,1955,564
Ross Smith,1955,565
Kevin Stuart,1955,566
Lindsay Townsend,1955,567
Ivan Vodanovich,1955,568
Pat Walsh,1955,569
Bill Gray,1955,570
Tom Katene,1955,571
Ross Brown,1955,572
John Buxton,1955,573
Tiny Hill,1955,574
Donald McIntosh,1956,575
Patrick Vincent,1956,576
Francis McAtamney,1956,577
Ian MacEwan,1956,578
Denis Young,1956,579
Don Clarke,1956,580
Terry Lineen,1957,581
Frank McMullen,1957,582
Colin Meads,1957,583
Wilson Whineray,1957,585
Mick Cossey,1958,591
Tom Coughlan,1958,592
David Graham,1958,593
Lloyd Ashby,1958,594
Rex Pickering,1958,589
Russell Watt,1958,584
Adrian Clarke,1958,595
William Gillespie,1958,586
Brian Finlay,1959,596
Bruce McPhail,1959,597
Spider Urbahn,1959,598
Kevin Briscoe,1959,599
Ralph Caulton,1959,600
Dick Conway,1959,601
Tuppy Diack,1959,602
John McCullough,1959,603
Kel Tremain,1959,604
Des Webb,1959,605
Terry O'Sullivan,1960,612
Ronald Horsley,1960,610
Kevin Laidlaw,1960,611
Steve Nesbit,1960,615
Tony Davies,1960,608
Desmond Connor,1958,617
Donald McKay,1961,618
Stan Meads,1961,619
Neil Wolfe,1961,620
Vic Yates,1961,621
Paul Little,1961,622
Rod Heeps,1962,625
Waka Nathan,1962,627
Bruce Watt,1962,628
Raymond Moreton,1962,629
Peter Morrissey,1962,630
John Creighton,1962,624
Jules le Lievre,1962,626
Keith Nelson,1962,631
Mac Herewini,1962,632
Barry Thomas,1962,633
Allan Stewart,1963,638
Ian Uttley,1963,634
Derek Arnold,1963,639
Malcolm Dick,1963,635
Ken Gray,1963,636
Brian Lochore,1964,637
Chris Laidlaw,1964,641
Don Clark,1964,646
John Collins,1964,647
Bruce McLeod,1964,648
Spooky Smith,1964,644
Mick Williment,1964,649
Peter Murdoch,1964,650
Ron Rangi,1964,651
Bill Birtwistle,1965,652
Fergie McCormick,1965,653
Jack Hazlett,1966,654
Ian MacRae,1966,642
Anthony Steel,1966,664
Bill Davis,1967,640
Sid Going,1967,655
John Major,1967,643
Jazz Muller,1967,656
Sam Strahan,1967,657
Earle Kirton,1967,645
Graham Williams,1967,668
Ian Kirkpatrick,1967,666
Alister Hopkinson,1967,663
Wayne Cottrell,1968,658
Tom Lister,1968,673
Grahame Thorne,1968,660
Anthony Kreft,1968,675
Michael O'Callaghan,1968,676
Owen Stephens,1968,677
Alan Smith,1969,667
George Skudder,1969,678
Bryan Williams,1970,689
Alan Sutherland,1970,670
Alex Wyllie,1970,688
Buff Milner,1970,683
Neil Thimbleby,1970,684
Ron Urlich,1970,687
Blair Furlong,1970,685
Gerald Kember,1970,665
Keith Murdoch,1970,686
Bob Burgess,1971,690
Ken Carrington,1971,691
Richard Guy,1971,692
Bruce Hunter,1971,682
Alan McNaughton,1971,693
Tane Norton,1971,694
Pole Whiting,1971,695
Howard Joseph,1971,696
Laurie Mains,1971,697
Mick Duncan,1971,698
Phil Gard,1971,699
John Dougan,1972,705
Duncan Hales,1972,707
Jeff Matheson,1972,708
Trevor Morris,1972,701
Mike Parkinson,1972,709
Bruce Robertson,1972,702
Alistair Scown,1972,710
Graham Whiting,1972,703
Lyn Jaffray,1972,711
Graham Sims,1972,712
Grant Batty,1972,715
Joe Karam,1972,713
Hamish Macdonald,1972,700
Ian Stevens,1972,719
Kent Lambert,1972,718
Ian Hurst,1973,717
Murray Jones,1973,723
Robert Lendrum,1973,725
Ken Stewart,1973,720
Terry Morrison,1973,724
Billy Bush,1974,738
John Callesen,1974,727
Bruce Gemmell,1974,729
Andy Leslie,1974,731
Duncan Robertson,1974,734
Kerry Tanner,1974,735
Jon McLachlan,1974,732
Ash Gardiner,1974,728
Joe Morgan,1974,733
Bill Osborne,1975,744
Lyn Davis,1976,745
Neil Purvis,1976,746
Doug Bruce,1976,737
Kevin Everleigh,1976,740
Kit Fawcett,1976,747
Brad Johnstone,1976,749
Perry Harris,1976,751
Frank Oliver,1976,750
Terry Mitchell,1976,743
Colin Farrell,1977,773
Andy Haden,1977,716
Laurie Knight,1977,730
Mark Taylor,1977,771
Brian Ford,1977,774
John McEldowney,1977,768
Graham Mourie,1977,757
Bev Wilson,1977,775
John Black,1977,765
Mark Donaldson,1977,781
Gary Knight,1977,782
Brian McKechnie,1977,778
Gary Seear,1977,748
Stu Wilson,1977,772
Robbie Stuart,1977,780
Andy Dalton,1977,777
Barry Ashworth,1978,783
John Ashworth,1978,776
Leicester Rutledge,1978,784
Dick Myers,1978,779
Clive Currie,1978,789
Dave Loveridge,1978,791
Murray Taylor,1979,770
Murray Watts,1979,793
Wayne Graham,1979,792
Gary Cunningham,1979,794
Mike McCool,1979,795
Eddie Dunn,1979,790
John Fleming,1979,785
Bernie Fraser,1979,797
Murray Mexted,1979,798
John Spiers,1979,761
Richard Wilson,1979,764
Peter Sloane,1979,726
Brett Codlin,1980,807
Hika Reid,1980,809
Mark Shaw,1980,810
Wayne Smith,1980,806
Tim Twigden,1980,803
Nicky Allen,1980,812
Lachie Cameron,1980,796
Geoffrey Hines,1980,805
Graeme Higginson,1980,808
Rod Ketels,1980,802
Doug Rollerson,1980,758
Allan Hewson,1981,804
Andy Jefferd,1981,815
Haydn Rickit,1981,824
Freddy Woodman,1981,822
Greg Burgess,1981,816
Geoff Old,1981,817
Steve Pokere,1981,825
Frank Shelford,1981,826
Gary Whetton,1981,827
Jamie Salmon,1981,818
Arthur Stone,1981,832
Paul Koteka,1981,831
Ian Dunn,1983,835
Jock Hobbs,1983,836
Warwick Taylor,1983,837
Albert Anderson,1983,847
Gary Braid,1983,839
Scott Crichton,1983,840
Robbie Deans,1983,841
Andy Donald,1983,828
Brian McGrattan,1983,850
Craig Green,1983,842
Murray Davie,1983,849
John Kirwan,1984,854
Bruce Smith,1984,845
Alan Whetton,1984,853
Mike Clamp,1984,851
Kieran Crowley,1985,848
David Kirk,1985,843
Murray Pierce,1985,852
Grant Fox,1985,857
Steve McDowall,1985,862
Vic Simpson,1985,864
Kevin Boroevich,1986,838
Frano Botica,1986,866
Mike Brewer,1986,867
Mark Brooke-Cowden,1986,868
Greg Cooper,1986,869
Andy Earl,1986,870
Sean Fitzpatrick,1986,871
Brett Harvey,1986,872
Gordon Macpherson,1986,873
Joe Stanley,1986,874
Terry Wright,1986,875
Brent Anderson,1986,876
Michael Speight,1986,877
Marty Berry,1986,878
John Drake,1986,865
Buck Shelford,1986,860
John Gallagher,1987,879
Michael Jones,1986,882
Richard Loe,1987,881
Zinzan Brooke,1987,883
Bernie McCahill,1987,884
Bruce Deans,1988,891
John Schuster,1988,889
Graeme Bachop,1989,885
Craig Innes,1989,901
Ian Jones,1990,902
Walter Little,1990,898
Kevin Schuler,1990,904
Paul Henderson,1991,897
John Timu,1991,905
Mark Carter,1991,912
Jon Preston,1991,913
Graham Purvis,1991,899
Inga Tuigamala,1991,900
Jason Hewett,1991,914
Shayne Philpott,1991,895
Frank Bunce,1991,915
Mark Cooksley,1992,916
Richard Turner,1992,917
Arran Pene,1992,918
Eroni Clarke,1992,919
Jamie Joseph,1992,920
Blair Larsen,1992,921
Ant Strachan,1992,922
Graham Dowd,1992,923
Robin Brooke,1992,924
Olo Brown,1992,910
Matthew Cooper,1992,887
Craig Dowd,1993,931
Lee Stensness,1993,932
Bull Allen,1993,933
Marc Ellis,1993,926
Stu Forster,1993,934
Steve Gordon,1993,896
Jeff Wilson,1993,935
Jonah Lomu,1994,941
Simon Mannix,1994,908
Stephen Bachop,1991,925
Shane Howarth,1994,939
Alama Ieremia,1992,942
Josh Kronfeld,1995,943
Andrew Mehrtens,1995,944
Glen Osborne,1995,945
Norm Hewitt,1995,938
Eric Rush,1995,927
Simon Culhane,1995,946
Liam Barry,1995,936
Justin Marshall,1995,948
Christian Cullen,1996,952
Scott McLeod,1996,953
Adrian Cashmore,1996,954
Andrew Blowers,1996,956
Glenn Taylor,1996,930
Taine Randell,1997,949
Tana Umaga,1997,961
Anton Oliver,1997,960
Charles Riechelmann,1997,962
Junior Tonu'u,1992,957
Carlos Spencer,1997,951
Mark Mayerhofler,1998,969
Todd Blackadder,1998,947
Mark Robinson,1998,965
Caleb Ralph,1998,970
Carl Hoeft,1998,971
Isitolo Maka,1998,972
Joeli Vidiri,1994,973
Scott Robertson,1998,974
Royce Willis,1998,975
Norm Berryman,1998,976
Kees Meeuws,1998,977
Xavier Rush,1998,978
Tony Brown,1999,980
Daryl Gibson,1999,985
Norm Maxwell,1999,986
Dylan Mika,1994,982
Greg Feek,1999,987
Byron Kelleher,1999,983
Pita Alatini,1995,979
Mark Hammett,1999,984
Reuben Thorne,1999,988
Rhys Duggan,1999,989
Troy Flavell,2000,990
Greg Somerville,2000,991
Doug Howlett,2000,992
Filo Tiatia,2000,993
Ron Cribb,2000,994
Leon MacDonald,2000,995
Mark Robinson,2000,996
Gordon Slater,2000,968
Bruce Reihana,2000,997
Jason O'Halloran,2000,998
Marty Holah,2001,999
Carl Hayman,2001,1000
Mark Ranby,2001,1001
Jerry Collins,2001,1002
Chris Jack,2001,1003
Richie McCaw,2001,1014
Aaron Mauger,2001,1013
Dave Hewett,2001,1005
Ben Blair,2001,1004
Dion Waller,2001,1011
Joe McDonnell,2002,1015
Simon Maling,2002,1007
Tom Willis,2002,1012
Sam Harding,2002,1016
Sam Broomhall,2002,1017
Steve Devine,2002,1018
Andrew Hore,2002,1019
Keith Lowen,2002,1020
Keith Robinson,2002,1021
Ali Williams,2002,1022
Danny Lee,2002,1023
Brad Mika,2002,1024
Dan Braid,2002,1027
Regan King,2002,1029
Keven Mealamu,2002,1026
Rodney So'oialo,2002,1028
Tony Woodcock,2002,1025
Paul Steinmetz,2002,1030
Ma'a Nonu,2003,1031
Joe Rokocoko,2003,1032
Mils Muliaina,2003,1033
Dan Carter,2003,1034
Brad Thorn,2003,1035
Corey Flynn,2003,1036
Ben Atiga,2003,1037
Jono Gibbes,2004,1038
Nick Evans,2004,1039
Sam Tuitupou,2004,1040
Craig Newby,2004,1041
Mose Tuiali'i,2004,1042
Rico Gear,2004,1043
Conrad Smith,2004,1044
Saimone Taumoepeau,2004,1045
Steven Bates,2004,1047
Jimmy Cowan,2004,1046
Casey Laulala,2004,1048
Piri Weepu,2004,1049
James Ryan,2005,1051
Sitiveni Sivivatu,2004,1052
Derren Witcombe,2005,1053
Sosene Anesi,2005,1054
Campbell Johnstone,2005,1056
Sione Lauaki,2004,1055
Luke McAlister,2005,1057
Kevin Senio,2005,1058
Chris Masoe,2005,1059
Neemia Tialata,2005,1060
Angus Macdonald,2005,1061
John Afoa,2005,1062
Jason Eaton,2005,1063
Isaia Toeava,2005,1064
Clarke Dermody,2006,1065
Greg Rawlinson,2006,1066
Jerome Kaino,2006,1050
David Hill,2006,1006
Scott Hamilton,2006,1067
Andy Ellis,2006,1068
Brendon Leonard,2007,1069
Ross Filipo,2007,1070
John Schwalger,2007,1071
Anthony Tuitavake,2008,1072
Adam Thomson,2008,1073
Anthony Boric,2008,1074
Stephen Donald,2008,1075
Richard Kahui,2008,1076
Rudi Wulf,2008,1077
Kevin O'Neill,2008,1078
Hosea Gear,2008,1079
Cory Jane,2008,1080
Jamie Mackintosh,2008,1081
Liam Messam,2008,1082
Kieran Read,2008,1083
Isaac Ross,2009,1088
Bryn Evans,2009,1090
Tanerau Latimer,2009,1089
Wyatt Crockett,2009,1091
Lelia Masaga,2009,1092
Aled de Malmanche,2009,1095
Owen Franks,2009,1094
George Whitelock,2009,1093
Tom Donnelly,2009,1096
Zac Guildford,2009,1097
Mike Delany,2009,1098
Tamati Ellison,2009,1099
Ben Smith,2009,1100
Israel Dagg,2010,1101
Ben Franks,2010,1084
Benson Stanley,2010,1102
Aaron Cruden,2010,1105
Victor Vito,2010,1103
Sam Whitelock,2010,1104
Rene Ranger,2010,1106
Alby Mathewson,2010,1087
Colin Slade,2010,1107
Sonny Bill Williams,2010,1108
Hika Elliot,2010,1086
Jarrad Hoeata,2011,1109
Brodie Retallick,2012,1110
Julian Savea,2012,1111
Aaron Smith,2012,1112
Sam Cane,2012,1113
Luke Romano,2012,1114
Beauden Barrett,2012,1115
Charlie Faumuina,2012,1116
Dane Coles,2012,1117
Tawera Kerr-Barlow,2012,1118
Ben Afeaki,2013,1119
Jeremy Thrush,2013,1120
Steven Luatua,2013,1121
Charles Piutau,2013,1122
Matt Todd,2013,1123
Ryan Crotty,2013,1124
Tom Taylor,2013,1125
Francis Saili,2013,1126
Dominic Bird,2013,1127
Frank Halai,2013,1128
Jeff Toomaga-Allen,2013,1130
Luke Whitelock,2013,1129
Malakai Fekitoa,2014,1131
TJ Perenara,2014,1132
Patrick Tuipulotu,2014,1133
Joe Moody,2014,
Nathan Harris,2014,
Augustine Pulu,2014,
James Parsons,2014,
George Moala,2015,
Nepo Laulala,2015,
Charlie Ngatai,2015,
Brad Weber,2015,
Waisake Naholo,2015,
Codie Taylor,2015,
James Broadhurst,2015,
Lima Sopoaga,2015,
Nehe Milner-Skudder,2015,
