Algérie الجزائر,Sétif - سطيف‎,Daïra Beni Ouartilane
Perú,Tacna,Candarave
Algérie الجزائر,Sétif - سطيف‎,Daïra Amoucha
g,n,i
Algérie الجزائر,Sétif - سطيف‎,Daïra El Eulma
Россия,СКФО,Карачаево-Черкесия
Perú,Tacna,Candarave
Perú,Tacna,Candarave
Perú,Tacna,Candarave
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
United Kingdom,G,Scotland
g,n,i
g,n,i
Perú,Tacna,Candarave
g,n,i
Perú,Tacna,Candarave
Perú,Tacna,Candarave
g,n,i
g,n,i
g,n,i
Perú,Tacna,Candarave
Perú,Tacna,Candarave
Perú,Tacna,Candarave
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
United States of America,Missing,Missing
United States of America,Missing,Missing
g,n,i
Perú,Tacna,Candarave
Perú,Tacna,Candarave
United States of America,Missing,Missing
United States of America,Missing,Missing
Perú,Tacna,Candarave
g,n,i
Perú,Tacna,Candarave
g,n,i
g,n,i
United States of America,Missing,Missing
Perú,Tacna,Candarave
United States of America,Missing,Missing
United States of America,Missing,Missing
g,n,i
g,n,i
Perú,Tacna,Candarave
United States of America,New York,Essex County
g,n,i
g,n,i
South Africa,2001,Gauteng
United States of America,Missing,Missing
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
France,France métropolitaine,Auvergne
g,n,i
g,n,i
United Kingdom,G,Scotland
United States of America,Missing,Missing
United States of America,Missing,Missing
South Africa,Gauteng,City of Tshwane Metropolitan Municipality
Россия,СКФО,Карачаево-Черкесия
g,n,i
g,n,i
g,n,i
New Zealand/Aotearoa,Bay of Plenty,Rotorua District
United States of America,Missing,Missing
g,n,i
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality
g,n,i
g,n,i
Österreich,8362,Steiermark
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
Danmark,1970,Region Hovedstaden
g,n,i
Danmark,1970,Region Hovedstaden
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
g,n,i
g,n,i
g,n,i
Nederland,1969,Nederland
Danmark,1967,Region Hovedstaden
Danmark,1967,Region Hovedstaden
Nederland,1969,Nederland
Россия,СКФО,Карачаево-Черкесия
Danmark,1965,Region Hovedstaden
Россия,СКФО,Карачаево-Черкесия
United States of America,Colorado,Las Animas County
Nederland,1969,Nederland
Россия,СКФО,Карачаево-Черкесия
Danmark,1972,Region Hovedstaden
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
Россия,СКФО,Карачаево-Черкесия
Россия,СКФО,Карачаево-Черкесия
United States of America,Missing,Missing
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
Danmark,1970,Region Hovedstaden
Россия,СКФО,Карачаево-Черкесия
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
Nederland,1969,Nederland
Deutschland,Baden-Württemberg,Regierungsbezirk Karlsruhe
United States of America,Missing,Missing
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
Nederland,1969,Nederland
g,n,i
New Zealand/Aotearoa,Northland,Whangarei District
Россия,СКФО,Карачаево-Черкесия
g,n,i
South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality
United States of America,Missing,Missing
United States of America,Missing,Missing
Danmark,1972,Region Hovedstaden
Tonga,Vavaʻu,Missing
g,n,i
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
g,n,i
g,n,i
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Mississippi,George
Россия,СКФО,Карачаево-Черкесия
g,n,i
United States of America,Missing,Missing
Tonga,Tongatapu,Vahe Tatakamotonga
Svizra,Svizzera,Suisse
United States of America,Missing,Missing
g,n,i
Nederland,1969,Nederland
Australia,New South Wales,Missing
United States of America,Missing,Missing
New Zealand/Aotearoa,Northland,Whangarei District
Danmark,1967,Region Hovedstaden
Tanzania,Coastal,Dar es Salaam
Australia,New South Wales,Missing
Россия,СКФО,Карачаево-Черкесия
Россия,СКФО,Карачаево-Черкесия
New Zealand/Aotearoa,Auckland,Missing
Österreich,8271,Steiermark
South Africa,Limpopo,Waterberg District Municipality
United States of America,Missing,Missing
United States of America,Missing,Missing
New Zealand/Aotearoa,Canterbury,Christchurch City
Svizra,Svizzera,Suisse
Nederland,1969,Nederland
Danmark,1972,Region Hovedstaden
Россия,СКФО,Карачаево-Черкесия
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
United States of America,Missing,Missing
United States of America,Missing,Missing
g,n,i
United States of America,American Samoa,Missing
Svizra,Svizzera,Suisse
United States of America,Missing,Missing
South Africa,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Viti,Central,Suva
United States of America,Missing,Missing
Svizra,Svizzera,Suisse
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
Danmark,1972,Region Hovedstaden
Svizra,Svizzera,Suisse
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Palestinian Territory,الضفة الغربية‎,محافظة بيت لحم
Svizra,Svizzera,Suisse
United States of America,Nebraska,Lancaster County
Australia,New South Wales,Missing
South Africa,Western Cape,Cape Winelands District Municipality
United States of America,Missing,Missing
United Kingdom,England,East Midlands
Россия,СКФО,Карачаево-Черкесия
United States of America,Missing,Missing
South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality
United States of America,Missing,Missing
South Africa,Gauteng,City of Tshwane Metropolitan Municipality
United Kingdom,England,West Midlands
United States of America,Missing,Missing
United States of America,Missing,Missing
Tonga,Tongatapu,Vahe Kolomotu'a
United States of America,Missing,Missing
United Kingdom,England,South West England
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
România,Vâlcea,1979
Россия,СКФО,Карачаево-Черкесия
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
Tonga,Vavaʻu,Missing
United States of America,Missing,Missing
South Africa,Eastern Cape,Buffalo City Metropolitan Municipality
United States of America,Missing,Missing
Viti,Central,Suva
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
South Africa,KwaZulu-Natal,uMgungundlovu District Municipality
Svizra,Svizzera,Suisse
New Zealand/Aotearoa,Canterbury,Timaru District
g,n,i
Österreich,8271,Steiermark
New Zealand/Aotearoa,Bay of Plenty,Whakatane District
United States of America,Missing,Missing
South Africa,KwaZulu-Natal,uMgungundlovu District Municipality
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Australia,New South Wales,Missing
United States of America,American Samoa,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Viti,Central,Suva
United States of America,Missing,Missing
Estados Unidos Mexicanos,Nuevo León,Monterrey
United States of America,Missing,Missing
United States of America,Missing,Missing
Zimbabwe,Harare Province,Harare
Cook Islands,Te-Au-O-Tonga,Ara Tapu
United States of America,Missing,Missing
United States of America,Missing,Missing
Australia,New South Wales,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
g,n,i
New Zealand/Aotearoa,Hawke's Bay,Wairoa District
g,n,i
Россия,СКФО,Карачаево-Черкесия
United States of America,penna,Bucks County
United States of America,American Samoa,Missing
United Kingdom,England,North West England
South Africa,Western Cape,City of Cape Town
United States of America,Missing,Missing
Australia,Queensland,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
United States of America,Missing,Missing
New Zealand/Aotearoa,Canterbury,Christchurch City
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,American Samoa,Missing
United States of America,Missing,Missing
United States of America,American Samoa,Missing
Australia,Queensland,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
United States of America,Missing,Missing
South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
United States of America,Missing,Missing
United States of America,American Samoa,Missing
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
United States of America,Missing,Missing
New Zealand/Aotearoa,Canterbury,Christchurch City
Sverige,Svealand,Västmanlands län
United States of America,Missing,Missing
Deutschland,Hessen,Regierungsbezirk Darmstadt
Australia,New South Wales,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Sverige,Svealand,Västmanlands län
g,n,i
United States of America,Missing,Missing
Republic of Ireland,Munster,County Cork
United States of America,Missing,Missing
United States of America,Guam,Hagåtña
Россия,СКФО,Карачаево-Черкесия
Россия,СКФО,Карачаево-Черкесия
Nederland,1991,Nederland
Россия,СКФО,Карачаево-Черкесия
Česko,43201,Severozápad
United States of America,Missing,Missing
United States of America,75497,Texas
United States of America,Missing,Missing
Česko,43201,Severozápad
Россия,СКФО,Карачаево-Черкесия
Sverige,Svealand,Västmanlands län
Česko,43201,Severozápad
United States of America,Missing,Missing
Portugal,1990,Lisboa
United States of America,American Samoa,Missing
Portugal,1990,Lisboa
South Africa,2001,Gauteng
Portugal,1990,Lisboa
Česko,43201,Severozápad
g,n,i
Portugal,1990,Lisboa
Australia,New South Wales,Missing
Česko,Jihozápad,Plzeňský kraj
United States of America,Missing,Missing
